afirmacao,fonte,tipo,local_no_tcc,observacao_limitacao
Escopo publico; nao se alegou consulta ao texto integral restrito,https://www.iso.org/standard/74393.html,Fonte técnica primária,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Metodo original; adaptacao explicitada, nao ATAM completo",https://www.sei.cmu.edu/library/atam-method-for-architecture-evaluation/,Fonte técnica primária,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Tokenizacao por subpalavras; nao prova semantica economica universal,"Kudo, T.; Richardson, J. 2018. SentencePiece: a simple and language independent subword tokenizer and detokenizer for neural text processing. In: Conference on Empirical Methods in Natural Language Processing: System Demonstrations, 2018, Bruxelas, Bélgica. Proceedings... p. 66-71. DOI: 10.18653/v1/D18-2012.",Publicação científica,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Autores conferidos no NIST; modelos de tokens blockchain/off-chain hibrido,"Lesavre, L.; Varin, P.; Yaga, D. 2021. Blockchain Networks: Token Design and Management Overview. NIST IR 8301. National Institute of Standards and Technology, Gaithersburg, MD, Estados Unidos. DOI: 10.6028/NIST.IR.8301.",Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Contagem de entrada; nao igualar a saldo de ativo,https://developers.openai.com/api/docs/guides/token-counting,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Politicas de cache dependentes do modelo; retiradas generalizacoes numericas antigas,https://developers.openai.com/api/docs/guides/prompt-caching,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Quotas multidimensionais; nao SLA,https://developers.openai.com/api/docs/guides/rate-limits,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Atualizacao publicada 21 ago 2026; Kafka/ClickHouse/PostgreSQL; deduplicacao opcional,https://openmeter.io/docs/open-source/architecture,Fonte técnica primária,Metodologia e Resultados: aplicação ao caso público; Tabela 5,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Uso/saldo/excedente, consulta de acesso, reset",https://openmeter.io/docs/billing/entitlements/entitlement,Fonte técnica primária,Metodologia e Resultados: aplicação ao caso público; Tabela 5,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Concessoes com prioridade/vigencia/expiracao/rollover; exemplos publicados nao dados empresariais,https://openmeter.io/docs/billing/entitlements/grant,Fonte técnica primária,Metodologia e Resultados: aplicação ao caso público; Tabela 5,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Arquivos engine/grant.go, engine/reset.go, grant/grant.go inspecionados; produto nao executado",https://github.com/openmeterio/openmeter/tree/6d76d8a6fa90fbbab2d41035d31df2acec7ad3af,Fonte técnica primária,Metodologia e Resultados: aplicação ao caso público; Tabela 5,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Somente ganhos elegiveis; nao conversibilidade geral,https://en.help.roblox.com/hc/en-us/articles/115005718246-Developer-Exchange-Terms-of-Use,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Termos atualizados 19 maio 2026,https://en.help.roblox.com/hc/en-us/articles/115004647846-Roblox-Terms-of-Use,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Protocolo, unidade de analise e limites; nao equivalente a teste em laboratorio","Runeson, P.; Höst, M. 2009. Guidelines for conducting and reporting case study research in software engineering. Empirical Software Engineering 14: 131-164. DOI: 10.1007/s10664-008-9102-8.",Publicação científica,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Escritor unico, isolamento e BEGIN IMMEDIATE; nao benchmark",https://www.sqlite.org/isolation.html,Fonte técnica primária,Metodologia: verificação controlada; cenários S2-S4,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Pre-pagamento, regras do cartao; escopo regional",https://www.starbucks.com/terms/manage-gift-cards/,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Vigencia publicada 10 mar 2026; pontos promocionais,https://www.starbucks.com/terms/rewards/,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Saldo e regras de conta; nao evidencia banco de dados interno,https://store.steampowered.com/agreement/,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Ano do fasciculo 2016, online 2014; avaliacao formativa/artifical vs naturalista","Venable, J.; Pries-Heje, J.; Baskerville, R. 2016. FEDS: a framework for evaluation in design science research. European Journal of Information Systems 25: 77-89. DOI: 10.1057/ejis.2014.36.",Publicação científica,Introdução; Metodologia; Validade e escopo,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
"Interface, transferencias e eventos; nao garantia universal entre redes",https://eips.ethereum.org/EIPS/eip-20,Fonte técnica primária,Resultados e Discussão: Delineamento e evidências; Tabela 2,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
Decisao sobre confianca/escritores; preprint verificado eprint.iacr.org/2017/375,"Wüst, K.; Gervais, A. 2018. Do you need a blockchain? In: Crypto Valley Conference on Blockchain Technology, 2018, Zug, Suíça. Proceedings... p. 45-54. DOI: 10.1109/CVCBT.2018.00011.",Publicação científica,Introdução; construção da matriz; Tabela 4,Escopo exato da fonte indicada; não comprova funcionamento de sistema não executado
A0 perde informação: totais iguais de 100 com vencimentos distintos exigem zero e 100 no instante 15,"results/results.json: C01; ledger.py; OpenMeter (2026c, d)",Contraexemplo original e execução controlada,"Resultados: DR1, Tabelas 5 e 6","Não demonstra falha do OpenMeter; A0 é o contador isolado, sem metadados"
A1 combina metering e registro por concessão,"OpenMeter (2026b, c, d); R1-R6; DR1; Tabela 5",Inferência e decisão da avaliação,Resumo; aplicação; Considerações Finais,"Decisão desta pesquisa, não atribuída aos mantenedores ou ao empregador"
A2/A3 não foram selecionadas; não foram provadas inviáveis,"Tabela 5, Q1-Q4; DR1",Julgamento arquitetural delimitado,Resultados: aplicação ao caso público,Ausência de requisito não equivale a proibição; sem benchmark entre alternativas
103 verificações aprovadas = 28 dirigidas + 75 combinações de fronteira,results/results.json: summary e checks,Resultado de execução local,Resumo; verificação controlada,Não é cobertura percentual ou probabilidade de confiabilidade
75 casos enumeram cinco saldos e quinze pares válidos de limites,run_tests.py: laços values; results B001-B075,Desenho determinístico e execução,Metodologia; Apêndice A,"Entradas artificiais de teste, não amostra de clientes ou distribuição estatística"
Cinco entregas idênticas geram um débito de 700 e saldo 9.300,results/results.json: T01,Resultado de execução local,Tabela 6: S2,Sem transporte de rede; depende de identidade estável source/id
Falha injetada preserva 10.000 antes de nova tentativa; depois saldo 9.300,results/results.json: T04,Resultado de execução local,Tabela 6: S3,"Exceção e rollback, não perda de energia/disco"
"Oito trabalhadores, 400 chamadas, cem eventos de uso, 300 repetições, saldo 9.000",results/results.json: T07,Resultado de execução local,Tabela 6: S4,Parâmetros de teste; nenhuma taxa por segundo medida; não carga real
Reconstrução de cinco eventos produz saldo 103.000 e estado igual,results/results.json: T06,Resultado de execução local,Tabela 6: S3; discussão de rastreabilidade,"Auditoria interna, não prova contra alteração maliciosa de toda a base"
Regras R1-R6 possuem evidência e testes específicos,evidencias/cobertura_requisitos.csv,Rastreabilidade do recorte,Resultados: verificação controlada,Não significa cobertura de todas as funcionalidades do produto
A aplicação da matriz não foi validação independente nem implantação profissional,Protocolo registrado; escopo de execução em results.json,Limitação do procedimento,Resumo; Metodologia; Validade; Conclusão,A aceitação acadêmica deste recorte depende do orientador/instituição
