id,group,label,expected,actual,passed,basis,error
B040,boundary,rollover b=5 min=5 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B041,boundary,rollover b=5 min=5 max=10,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B042,boundary,rollover b=5 min=5 max=100,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B043,boundary,rollover b=5 min=10 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B044,boundary,rollover b=5 min=10 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B045,boundary,rollover b=5 min=100 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B046,boundary,rollover b=10 min=0 max=0,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B047,boundary,rollover b=10 min=0 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B048,boundary,rollover b=10 min=0 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B049,boundary,rollover b=10 min=0 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B050,boundary,rollover b=10 min=0 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B051,boundary,rollover b=10 min=1 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B052,boundary,rollover b=10 min=1 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B053,boundary,rollover b=10 min=1 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B054,boundary,rollover b=10 min=1 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B055,boundary,rollover b=10 min=5 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B056,boundary,rollover b=10 min=5 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B057,boundary,rollover b=10 min=5 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B058,boundary,rollover b=10 min=10 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B059,boundary,rollover b=10 min=10 max=100,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B060,boundary,rollover b=10 min=100 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B061,boundary,rollover b=100 min=0 max=0,0,0,True,OpenMeter Grant rollover + credit/grant/grant.go,
B062,boundary,rollover b=100 min=0 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B063,boundary,rollover b=100 min=0 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B064,boundary,rollover b=100 min=0 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B065,boundary,rollover b=100 min=0 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B066,boundary,rollover b=100 min=1 max=1,1,1,True,OpenMeter Grant rollover + credit/grant/grant.go,
B067,boundary,rollover b=100 min=1 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B068,boundary,rollover b=100 min=1 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B069,boundary,rollover b=100 min=1 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B070,boundary,rollover b=100 min=5 max=5,5,5,True,OpenMeter Grant rollover + credit/grant/grant.go,
B071,boundary,rollover b=100 min=5 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B072,boundary,rollover b=100 min=5 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B073,boundary,rollover b=100 min=10 max=10,10,10,True,OpenMeter Grant rollover + credit/grant/grant.go,
B074,boundary,rollover b=100 min=10 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
B075,boundary,rollover b=100 min=100 max=100,100,100,True,OpenMeter Grant rollover + credit/grant/grant.go,
